[run number],maximum-sugar-endowment,minimum-sugar-endowment,visualization,taxation,redistribution,initial-population,[step],avg-gini,starvation,avg-productivity,total-wealth
280,130,60,color-agents-by-decile,dynamic-collection,dynamic,400,1000,0.0470630904376917,0,106.762275,43402
281,130,70,color-agents-by-decile,dynamic-collection,dynamic,400,1000,0.0464919919433644,0,112.62455,43257
282,130,80,color-agents-by-decile,dynamic-collection,dynamic,400,1000,0.048125897966003,0,118.477125,47859
283,130,90,color-agents-by-decile,dynamic-collection,dynamic,400,1000,0.0466867304787087,0,124.267025,49660
284,130,100,color-agents-by-decile,dynamic-collection,dynamic,400,1000,0.0427973401089673,0,130.213125,51791
285,130,110,color-agents-by-decile,dynamic-collection,dynamic,400,1000,0.0409965376287162,0,136.827375,53910
286,130,120,color-agents-by-decile,dynamic-collection,dynamic,400,1000,0.0422897469469441,0,138.10845,55599
287,130,130,color-agents-by-decile,dynamic-collection,dynamic,400,0,0.0409965376287162,0,136.827375,53910
288,130,140,color-agents-by-decile,dynamic-collection,dynamic,400,0,0.0409965376287162,0,136.827375,53910
289,130,150,color-agents-by-decile,dynamic-collection,dynamic,400,0,0.0409965376287162,0,136.827375,53910
290,130,160,color-agents-by-decile,dynamic-collection,dynamic,400,0,0.0409965376287162,0,136.827375,53910
291,130,170,color-agents-by-decile,dynamic-collection,dynamic,400,0,0.0409965376287162,0,136.827375,53910
292,130,180,color-agents-by-decile,dynamic-collection,dynamic,400,0,0.0409965376287162,0,136.827375,53910
293,130,190,color-agents-by-decile,dynamic-collection,dynamic,400,0,0.0409965376287162,0,136.827375,53910
294,130,200,color-agents-by-decile,dynamic-collection,dynamic,400,0,0.0409965376287162,0,136.827375,53910
295,140,0,color-agents-by-decile,dynamic-collection,dynamic,400,1000,0.0564803091018054,17,81.94975,32851
296,140,10,color-agents-by-decile,dynamic-collection,dynamic,400,1000,0.0595777453477718,0,88.261075,34581
297,140,20,color-agents-by-decile,dynamic-collection,dynamic,400,1000,0.0536415181801672,0,95.25335,37552
298,140,30,color-agents-by-decile,dynamic-collection,dynamic,400,1000,0.0528161903414218,0,100.232575,40494
299,140,40,color-agents-by-decile,dynamic-collection,dynamic,400,1000,0.0496648362131518,0,104.953775,43092
300,140,50,color-agents-by-decile,dynamic-collection,dynamic,400,1000,0.0509713054099828,0,107.728425,45328
301,140,60,color-agents-by-decile,dynamic-collection,dynamic,400,1000,0.0471637953204685,0,112.858375,44346
302,140,70,color-agents-by-decile,dynamic-collection,dynamic,400,1000,0.0436114100286562,0,116.468525,47847
303,140,80,color-agents-by-decile,dynamic-collection,dynamic,400,1000,0.0447282105481078,0,123.894825,48835
304,140,90,color-agents-by-decile,dynamic-collection,dynamic,400,1000,0.0479742418755573,0,129.8714,52902
305,140,100,color-agents-by-decile,dynamic-collection,dynamic,400,1000,0.0435484861827707,0,135.415625,55025
306,140,110,color-agents-by-decile,dynamic-collection,dynamic,400,1000,0.0397564929261946,0,136.19305,54791
307,140,120,color-agents-by-decile,dynamic-collection,dynamic,400,1000,0.0446337682920465,0,144.906825,56603
308,140,130,color-agents-by-decile,dynamic-collection,dynamic,400,1000,0.0393589663028384,0,146.9159,58799
309,140,140,color-agents-by-decile,dynamic-collection,dynamic,400,0,0.0446337682920465,0,144.906825,56603
310,140,150,color-agents-by-decile,dynamic-collection,dynamic,400,0,0.0446337682920465,0,144.906825,56603
311,140,160,color-agents-by-decile,dynamic-collection,dynamic,400,0,0.0446337682920465,0,144.906825,56603
312,140,170,color-agents-by-decile,dynamic-collection,dynamic,400,0,0.0446337682920465,0,144.906825,56603
313,140,180,color-agents-by-decile,dynamic-collection,dynamic,400,0,0.0446337682920465,0,144.906825,56603
314,140,190,color-agents-by-decile,dynamic-collection,dynamic,400,0,0.0446337682920465,0,144.906825,56603
315,140,200,color-agents-by-decile,dynamic-collection,dynamic,400,0,0.0446337682920465,0,144.906825,56603
316,150,0,color-agents-by-decile,dynamic-collection,dynamic,400,1000,0.0586983149718893,18,86.42295,33365
317,150,10,color-agents-by-decile,dynamic-collection,dynamic,400,1000,0.0534472148732797,0,91.644375,38083
318,150,20,color-agents-by-decile,dynamic-collection,dynamic,400,1000,0.0562283995696868,0,96.33965,38135
319,150,30,color-agents-by-decile,dynamic-collection,dynamic,400,1000,0.0546684216420782,0,102.1662,39688
320,150,40,color-agents-by-decile,dynamic-collection,dynamic,400,1000,0.0502321174179963,0,109.761125,43509
321,150,50,color-agents-by-decile,dynamic-collection,dynamic,400,1000,0.0499158512444734,0,111.67505,44699
322,150,60,color-agents-by-decile,dynamic-collection,dynamic,400,1000,0.0497881639941608,0,119.112225,46382
323,150,70,color-agents-by-decile,dynamic-collection,dynamic,400,1000,0.0455939877755579,0,123.192825,50485
324,150,80,color-agents-by-decile,dynamic-collection,dynamic,400,1000,0.047798866475233,0,128.99495,51686
325,150,90,color-agents-by-decile,dynamic-collection,dynamic,400,1000,0.0434281720503122,0,135.78915,53188
326,150,100,color-agents-by-decile,dynamic-collection,dynamic,400,1000,0.0458444454173365,0,141.313725,55872
327,150,110,color-agents-by-decile,dynamic-collection,dynamic,400,1000,0.0417056428275143,0,144.341625,58644
328,150,120,color-agents-by-decile,dynamic-collection,dynamic,400,1000,0.0420478853614499,0,148.52545,59167
329,150,130,color-agents-by-decile,dynamic-collection,dynamic,400,1000,0.042197331430959,0,152.494875,60804
330,150,140,color-agents-by-decile,dynamic-collection,dynamic,400,1000,0.0428378628350912,0,159.993275,63568
331,150,150,color-agents-by-decile,dynamic-collection,dynamic,400,0,0.042197331430959,0,152.494875,60804
332,150,160,color-agents-by-decile,dynamic-collection,dynamic,400,0,0.042197331430959,0,152.494875,60804
333,150,170,color-agents-by-decile,dynamic-collection,dynamic,400,0,0.042197331430959,0,152.494875,60804
334,150,180,color-agents-by-decile,dynamic-collection,dynamic,400,0,0.042197331430959,0,152.494875,60804
335,150,190,color-agents-by-decile,dynamic-collection,dynamic,400,0,0.042197331430959,0,152.494875,60804
336,150,200,color-agents-by-decile,dynamic-collection,dynamic,400,0,0.042197331430959,0,152.494875,60804
337,160,0,color-agents-by-decile,dynamic-collection,dynamic,400,1000,0.0553310481974289,12,95.02595,39677
338,160,10,color-agents-by-decile,dynamic-collection,dynamic,400,1000,0.0550995486653726,0,98.951425,38712
339,160,20,color-agents-by-decile,dynamic-collection,dynamic,400,1000,0.0553543485964941,0,104.1405,41728
340,160,30,color-agents-by-decile,dynamic-collection,dynamic,400,1000,0.0508728682461259,0,109.481525,43724
341,160,40,color-agents-by-decile,dynamic-collection,dynamic,400,1000,0.0493664995647667,0,113.03095,45719
342,160,50,color-agents-by-decile,dynamic-collection,dynamic,400,1000,0.0495278017926075,0,117.446375,47735
343,160,60,color-agents-by-decile,dynamic-collection,dynamic,400,1000,0.0480709816633514,0,123.097,49123
344,160,70,color-agents-by-decile,dynamic-collection,dynamic,400,1000,0.0482794985586573,0,127.17075,50148
345,160,80,color-agents-by-decile,dynamic-collection,dynamic,400,1000,0.0450795682610992,0,131.3187,52759
346,160,90,color-agents-by-decile,dynamic-collection,dynamic,400,1000,0.043405161863406,0,137.91355,55706
347,160,100,color-agents-by-decile,dynamic-collection,dynamic,400,1000,0.0425615656472424,0,146.070275,57013
348,160,110,color-agents-by-decile,dynamic-collection,dynamic,400,1000,0.0409411314523092,0,149.693075,60083
349,160,120,color-agents-by-decile,dynamic-collection,dynamic,400,1000,0.0416108442946977,0,155.313525,61032
350,160,130,color-agents-by-decile,dynamic-collection,dynamic,400,1000,0.0429438011398638,0,160.248875,64012
351,160,140,color-agents-by-decile,dynamic-collection,dynamic,400,1000,0.0403784222280281,0,165.3296,64781
352,160,150,color-agents-by-decile,dynamic-collection,dynamic,400,1000,0.038738067306396,0,171.5983,68427
353,160,160,color-agents-by-decile,dynamic-collection,dynamic,400,0,0.0403784222280281,0,165.3296,64781
354,160,170,color-agents-by-decile,dynamic-collection,dynamic,400,0,0.0403784222280281,0,165.3296,64781
355,160,180,color-agents-by-decile,dynamic-collection,dynamic,400,0,0.0403784222280281,0,165.3296,64781
356,160,190,color-agents-by-decile,dynamic-collection,dynamic,400,0,0.0403784222280281,0,165.3296,64781
357,160,200,color-agents-by-decile,dynamic-collection,dynamic,400,0,0.0403784222280281,0,165.3296,64781
358,170,0,color-agents-by-decile,dynamic-collection,dynamic,400,1000,0.0573972935869185,13,98.6584,39887
359,170,10,color-agents-by-decile,dynamic-collection,dynamic,400,1000,0.0551151398386297,0,103.84015,41234
360,170,20,color-agents-by-decile,dynamic-collection,dynamic,400,1000,0.0533751225211254,0,106.9527,43433
361,170,30,color-agents-by-decile,dynamic-collection,dynamic,400,1000,0.0496806849382155,0,111.13425,44335
362,170,40,color-agents-by-decile,dynamic-collection,dynamic,400,1000,0.0502232969604408,0,115.277475,45107
363,170,50,color-agents-by-decile,dynamic-collection,dynamic,400,1000,0.0479305738109298,0,124.92625,50934
364,170,60,color-agents-by-decile,dynamic-collection,dynamic,400,1000,0.048739788723039,0,131.5259,53644
365,170,70,color-agents-by-decile,dynamic-collection,dynamic,400,1000,0.0455626355989122,0,134.199025,54763
366,170,80,color-agents-by-decile,dynamic-collection,dynamic,400,1000,0.0443257802854594,0,136.703925,53885
367,170,90,color-agents-by-decile,dynamic-collection,dynamic,400,1000,0.0442274068772199,0,143.17425,58357
368,170,100,color-agents-by-decile,dynamic-collection,dynamic,400,1000,0.0426487150706176,0,149.3251,60963
369,170,110,color-agents-by-decile,dynamic-collection,dynamic,400,1000,0.0423679603005978,0,152.742125,61531
370,170,120,color-agents-by-decile,dynamic-collection,dynamic,400,1000,0.040855009914147,0,159.13185,63530
371,170,130,color-agents-by-decile,dynamic-collection,dynamic,400,1000,0.0414405993253143,0,164.053475,67565
372,170,140,color-agents-by-decile,dynamic-collection,dynamic,400,1000,0.0403835713252946,0,170.223825,69306
373,170,150,color-agents-by-decile,dynamic-collection,dynamic,400,1000,0.0405993737547243,0,174.8125,69784
374,170,160,color-agents-by-decile,dynamic-collection,dynamic,400,1000,0.0369340106133414,0,179.821375,72488
375,170,170,color-agents-by-decile,dynamic-collection,dynamic,400,0,0.0405993737547243,0,174.8125,69784
376,170,180,color-agents-by-decile,dynamic-collection,dynamic,400,0,0.0405993737547243,0,174.8125,69784
377,170,190,color-agents-by-decile,dynamic-collection,dynamic,400,0,0.0405993737547243,0,174.8125,69784
378,170,200,color-agents-by-decile,dynamic-collection,dynamic,400,0,0.0405993737547243,0,174.8125,69784
379,180,0,color-agents-by-decile,dynamic-collection,dynamic,400,1000,0.0585869818442254,6,103.37035,41647
380,180,10,color-agents-by-decile,dynamic-collection,dynamic,400,1000,0.0524735243826762,0,108.43905,42656
381,180,20,color-agents-by-decile,dynamic-collection,dynamic,400,1000,0.0537039231564678,0,115.3438,45977
382,180,30,color-agents-by-decile,dynamic-collection,dynamic,400,1000,0.0517164642223272,0,115.514125,48141
383,180,40,color-agents-by-decile,dynamic-collection,dynamic,400,1000,0.0479458786545753,0,123.272275,49502
384,180,50,color-agents-by-decile,dynamic-collection,dynamic,400,1000,0.0472306019240696,0,124.202575,50525
385,180,60,color-agents-by-decile,dynamic-collection,dynamic,400,1000,0.0436440163731783,0,133.781,53201
386,180,70,color-agents-by-decile,dynamic-collection,dynamic,400,1000,0.0433794205981014,0,135.924875,55650
387,180,80,color-agents-by-decile,dynamic-collection,dynamic,400,1000,0.0438794988399176,0,144.53725,57951
388,180,90,color-agents-by-decile,dynamic-collection,dynamic,400,1000,0.0396622964761523,0,147.6275,57143
389,180,100,color-agents-by-decile,dynamic-collection,dynamic,400,1000,0.0439447799362938,0,154.58035,62224
390,180,110,color-agents-by-decile,dynamic-collection,dynamic,400,1000,0.0391665977575419,0,155.89575,62538
391,180,120,color-agents-by-decile,dynamic-collection,dynamic,400,1000,0.0398980086475306,0,162.847625,64417
392,180,130,color-agents-by-decile,dynamic-collection,dynamic,400,1000,0.0415816336953937,0,168.13945,66749
393,180,140,color-agents-by-decile,dynamic-collection,dynamic,400,1000,0.0408612337632209,0,173.235225,68573
394,180,150,color-agents-by-decile,dynamic-collection,dynamic,400,1000,0.0401327438400243,0,179.8739,72730
395,180,160,color-agents-by-decile,dynamic-collection,dynamic,400,1000,0.0362832888093095,0,184.3975,72786
396,180,170,color-agents-by-decile,dynamic-collection,dynamic,400,1000,0.0371222937019346,0,189.12385,74864
397,180,180,color-agents-by-decile,dynamic-collection,dynamic,400,0,0.0362832888093095,0,184.3975,72786
398,180,190,color-agents-by-decile,dynamic-collection,dynamic,400,0,0.0362832888093095,0,184.3975,72786
