[run number],maximum-sugar-endowment,minimum-sugar-endowment,visualization,taxation,redistribution,initial-population,[step],avg-gini,starvation,avg-productivity,total-wealth,avg-diff
260,120,70,color-agents-by-decile,uniform-collection,dynamic,400,1000,0.0333892482603295,0,106.7057,43384,-1.235
261,120,80,color-agents-by-decile,uniform-collection,dynamic,400,1000,0.0354553517995363,0,111.533075,42719,-1.475
262,120,90,color-agents-by-decile,uniform-collection,dynamic,400,1000,0.0332862783398174,0,115.267325,46089,-1.5
263,120,100,color-agents-by-decile,uniform-collection,dynamic,400,1000,0.0324907613398689,0,123.446175,49753,-1.65
264,120,110,color-agents-by-decile,uniform-collection,dynamic,400,1000,0.0305526592737713,0,127.292725,51506,-1.745
265,120,120,color-agents-by-decile,uniform-collection,dynamic,400,0,0.0324907613398689,0,123.446175,49753,-1.65
266,120,130,color-agents-by-decile,uniform-collection,dynamic,400,0,0.0324907613398689,0,123.446175,49753,-1.65
267,120,140,color-agents-by-decile,uniform-collection,dynamic,400,0,0.0324907613398689,0,123.446175,49753,-1.65
268,120,150,color-agents-by-decile,uniform-collection,dynamic,400,0,0.0324907613398689,0,123.446175,49753,-1.65
269,120,160,color-agents-by-decile,uniform-collection,dynamic,400,0,0.0324907613398689,0,123.446175,49753,-1.65
270,120,170,color-agents-by-decile,uniform-collection,dynamic,400,0,0.0324907613398689,0,123.446175,49753,-1.65
271,120,180,color-agents-by-decile,uniform-collection,dynamic,400,0,0.0324907613398689,0,123.446175,49753,-1.65
272,120,190,color-agents-by-decile,uniform-collection,dynamic,400,0,0.0324907613398689,0,123.446175,49753,-1.65
273,120,200,color-agents-by-decile,uniform-collection,dynamic,400,0,0.0324907613398689,0,123.446175,49753,-1.65
274,130,0,color-agents-by-decile,uniform-collection,dynamic,400,1000,0.0507861035290593,19,75.60125,32289,-1.085
275,130,10,color-agents-by-decile,uniform-collection,dynamic,400,1000,0.0453912729333433,0,81.49065,33943,-1.17
276,130,20,color-agents-by-decile,uniform-collection,dynamic,400,1000,0.0439539684494691,0,87.1654999999999,35598,-1.135
277,130,30,color-agents-by-decile,uniform-collection,dynamic,400,1000,0.04131077209843,0,88.5519,36277,-1.09
278,130,40,color-agents-by-decile,uniform-collection,dynamic,400,1000,0.0397386427879997,0,99.45225,39271,-1.255
279,130,50,color-agents-by-decile,uniform-collection,dynamic,400,1000,0.0347786705367086,0,105.6027,42486,-1.64
280,130,60,color-agents-by-decile,uniform-collection,dynamic,400,1000,0.0360164932784968,0,107.872375,42800,-1.475
281,130,70,color-agents-by-decile,uniform-collection,dynamic,400,1000,0.0343395931962269,0,112.91765,43709,-1.315
282,130,80,color-agents-by-decile,uniform-collection,dynamic,400,1000,0.0322361860752453,0,116.430975,46679,-1.41
283,130,90,color-agents-by-decile,uniform-collection,dynamic,400,1000,0.0346038184019605,0,122.175,48954,-1.405
284,130,100,color-agents-by-decile,uniform-collection,dynamic,400,1000,0.0314357251346508,0,130.1811,51676,-1.43
