[run number],maximum-sugar-endowment,minimum-sugar-endowment,visualization,taxation,redistribution,initial-population,[step],avg-gini,starvation,avg-productivity,total-wealth,avg-diff
128,60,10,color-agents-by-decile,dynamic-collection,UBI,400,1000,0.0567452958231245,0,53.101675,21639,0.71
129,60,20,color-agents-by-decile,dynamic-collection,UBI,400,1000,0.0541050935390855,0,50.92985,19029,0.32
130,60,30,color-agents-by-decile,dynamic-collection,UBI,400,1000,0.0464218801847909,0,59.352525,23851,0.54
131,60,40,color-agents-by-decile,dynamic-collection,UBI,400,1000,0.0450728446352725,0,65.6177,26195,0.415
132,60,50,color-agents-by-decile,dynamic-collection,UBI,400,1000,0.048472059796003,0,68.594075,28551,0.435
133,60,60,color-agents-by-decile,dynamic-collection,UBI,400,0,0.0450728446352725,0,65.6177,26195,0.415
134,60,70,color-agents-by-decile,dynamic-collection,UBI,400,0,0.0450728446352725,0,65.6177,26195,0.415
135,60,80,color-agents-by-decile,dynamic-collection,UBI,400,0,0.0450728446352725,0,65.6177,26195,0.415
136,60,90,color-agents-by-decile,dynamic-collection,UBI,400,0,0.0450728446352725,0,65.6177,26195,0.415
137,60,100,color-agents-by-decile,dynamic-collection,UBI,400,0,0.0450728446352725,0,65.6177,26195,0.415
138,60,110,color-agents-by-decile,dynamic-collection,UBI,400,0,0.0450728446352725,0,65.6177,26195,0.415
139,60,120,color-agents-by-decile,dynamic-collection,UBI,400,0,0.0450728446352725,0,65.6177,26195,0.415
140,60,130,color-agents-by-decile,dynamic-collection,UBI,400,0,0.0450728446352725,0,65.6177,26195,0.415
141,60,140,color-agents-by-decile,dynamic-collection,UBI,400,0,0.0450728446352725,0,65.6177,26195,0.415
142,60,150,color-agents-by-decile,dynamic-collection,UBI,400,0,0.0450728446352725,0,65.6177,26195,0.415
143,60,160,color-agents-by-decile,dynamic-collection,UBI,400,0,0.0450728446352725,0,65.6177,26195,0.415
144,60,170,color-agents-by-decile,dynamic-collection,UBI,400,0,0.0450728446352725,0,65.6177,26195,0.415
145,60,180,color-agents-by-decile,dynamic-collection,UBI,400,0,0.0450728446352725,0,65.6177,26195,0.415
146,60,190,color-agents-by-decile,dynamic-collection,UBI,400,0,0.0450728446352725,0,65.6177,26195,0.415
147,60,200,color-agents-by-decile,dynamic-collection,UBI,400,0,0.0450728446352725,0,65.6177,26195,0.415
148,70,0,color-agents-by-decile,dynamic-collection,UBI,400,1000,0.0558727897698904,14,52.43855,20775,0.445
149,70,10,color-agents-by-decile,dynamic-collection,UBI,400,1000,0.0554772156569942,0,56.538675,22503,0.53
150,70,20,color-agents-by-decile,dynamic-collection,UBI,400,1000,0.0491764270439894,0,58.616775,24638,0.395
151,70,30,color-agents-by-decile,dynamic-collection,UBI,400,1000,0.0476629772383817,0,67.2574750000001,26720,0.58
152,70,40,color-agents-by-decile,dynamic-collection,UBI,400,1000,0.044028701347917,0,70.5113,27714,0.44
153,70,50,color-agents-by-decile,dynamic-collection,UBI,400,1000,0.040140919697437,0,73.0663,28283,0.55
154,70,60,color-agents-by-decile,dynamic-collection,UBI,400,1000,0.0453750876794919,0,79.5137,31910,0.38
155,70,70,color-agents-by-decile,dynamic-collection,UBI,400,0,0.040140919697437,0,73.0663,28283,0.55
156,70,80,color-agents-by-decile,dynamic-collection,UBI,400,0,0.040140919697437,0,73.0663,28283,0.55
157,70,90,color-agents-by-decile,dynamic-collection,UBI,400,0,0.040140919697437,0,73.0663,28283,0.55
158,70,100,color-agents-by-decile,dynamic-collection,UBI,400,0,0.040140919697437,0,73.0663,28283,0.55
159,70,110,color-agents-by-decile,dynamic-collection,UBI,400,0,0.040140919697437,0,73.0663,28283,0.55
160,70,120,color-agents-by-decile,dynamic-collection,UBI,400,0,0.040140919697437,0,73.0663,28283,0.55
161,70,130,color-agents-by-decile,dynamic-collection,UBI,400,0,0.040140919697437,0,73.0663,28283,0.55
