maximum-sugar-endowment,minimum-sugar-endowment,taxation,redistribution,avg-gini,starvation,avg-wealth,total-wealth,avg-diff,etiqueta
184,10,uniform-collection,uniform,0.328430907978695,5005,55.297275,22455,2.677525,4.0
185,10,uniform-collection,uniform,0.331319058121169,5077,54.755505,21633,2.68186,4.0
186,10,uniform-collection,uniform,0.335728560174721,4930,53.86711,22082,2.67825,4.0
187,10,uniform-collection,uniform,0.332522898306239,4920,55.327025,21592,2.657065,4.0
188,10,uniform-collection,uniform,0.334253990513651,5163,55.87467,22296,2.744595,4.0
189,10,uniform-collection,uniform,0.332886396301638,5051,55.328085,21685,2.6979,4.0
190,10,uniform-collection,uniform,0.33268586308512,5057,55.52456,21863,2.727665,4.0
191,10,uniform-collection,uniform,0.33583381989814,4979,55.33131,21641,2.75862,4.0
192,10,uniform-collection,uniform,0.336440574014113,5002,56.275735,22126,2.80429,4.0
193,10,uniform-collection,uniform,0.337243672740432,4920,56.3496199999999,21454,2.809875,4.0
194,10,uniform-collection,uniform,0.336916854414832,5136,56.59203,22617,2.86563,4.0
195,10,uniform-collection,uniform,0.335674892309613,5020,57.398075,22485,2.900555,4.0
196,10,uniform-collection,uniform,0.333678088896572,4881,56.970975,23905,2.833085,4.0
197,10,uniform-collection,uniform,0.338818071698989,4954,56.82835,23653,2.88822,4.0
198,10,uniform-collection,uniform,0.340289609272059,5074,57.305265,23020,2.916275,4.0
199,10,uniform-collection,uniform,0.337556216582925,4881,57.503755,22558,2.86073,4.0
200,10,uniform-collection,uniform,0.34019612375627,4927,56.723155,21842,2.86381,4.0
12,11,uniform-collection,uniform,0.341363389080184,33079,17.812765,7163,0.768335,4.0
13,11,uniform-collection,uniform,0.335374776744351,32588,18.09063,7468,0.764175,4.0
14,11,uniform-collection,uniform,0.334996338980974,31912,18.10501,7253,0.772964999999999,4.0
15,11,uniform-collection,uniform,0.331917164258993,31790,18.20691,7033,0.77024,4.0
16,11,uniform-collection,uniform,0.321385501568336,31163,18.344255,7029,0.761425,4.0
17,11,uniform-collection,uniform,0.312318772291519,30597,18.824935,7641,0.756955,4.0
18,11,uniform-collection,uniform,0.311758360675624,29846,18.769855,7580,0.765144999999999,4.0
19,11,uniform-collection,uniform,0.305162731164844,29403,18.982205,8059,0.773075,4.0
20,11,uniform-collection,uniform,0.302818038581668,28989,19.054445,7341,0.75806,4.0
21,11,uniform-collection,uniform,0.301068905784033,29062,18.956545,7640,0.750695,4.0
22,11,uniform-collection,uniform,0.29570495704597,28979,19.25074,7840,0.775075,4.0
23,11,uniform-collection,uniform,0.296696069865374,27945,19.375455,7757,0.76239,4.0
24,11,uniform-collection,uniform,0.296418024674716,28370,19.30438,7570,0.783955,4.0
25,11,uniform-collection,uniform,0.292838890583521,27514,19.5594,7992,0.783669999999999,4.0
26,11,uniform-collection,uniform,0.288316181044775,27809,19.861165,7844,0.76727,4.0
27,11,uniform-collection,uniform,0.293982046576009,27468,20.131695,8227,0.815095,4.0
28,11,uniform-collection,uniform,0.291488502888319,27375,19.882495,8121,0.80618,4.0
29,11,uniform-collection,uniform,0.293235754707299,26755,20.25682,7917,0.835805000000001,4.0
30,11,uniform-collection,uniform,0.291330893581444,26526,20.42852,8150,0.836855,4.0
31,11,uniform-collection,uniform,0.296177325300197,26349,20.68009,8596,0.848059999999999,4.0
32,11,uniform-collection,uniform,0.289987150592763,26219,20.673005,8340,0.849784999999999,4.0
33,11,uniform-collection,uniform,0.290285761839695,26099,21.01484,8323,0.874525,4.0
34,11,uniform-collection,uniform,0.29201146874771,25934,21.408855,8328,0.874955,4.0
35,11,uniform-collection,uniform,0.292192533068171,25817,21.207315,8570,0.877730000000001,4.0
36,11,uniform-collection,uniform,0.293260610347386,25665,21.57591,8543,0.897439999999999,4.0
37,11,uniform-collection,uniform,0.291221398721915,25417,21.65604,8672,0.90653,4.0
38,11,uniform-collection,uniform,0.294663586393803,25332,22.01455,8747,0.935224999999999,4.0
39,11,uniform-collection,uniform,0.290034851277878,25122,22.067805,9034,0.921165,4.0
40,11,uniform-collection,uniform,0.291081296478388,24803,22.33406,9107,0.94553,4.0
41,11,uniform-collection,uniform,0.287366099342527,24794,22.34209,9340,0.942755000000001,4.0
42,11,uniform-collection,uniform,0.291722379123422,24713,22.69637,8896,0.981985,4.0
43,11,uniform-collection,uniform,0.295449518958929,24324,22.70964,9082,0.99048,4.0
44,11,uniform-collection,uniform,0.292787585859039,24254,22.773055,8943,0.985965,4.0
45,11,uniform-collection,uniform,0.294164092742242,24263,23.09226,9121,1.01914,4.0
46,11,uniform-collection,uniform,0.290839833514805,24249,23.29884,9513,1.02444,4.0
47,11,uniform-collection,uniform,0.295615511845622,24195,23.279545,8887,1.04311,4.0
48,11,uniform-collection,uniform,0.290143568875503,23991,23.715985,9328,1.04697,4.0
49,11,uniform-collection,uniform,0.292447181512584,23430,24.13322,9819,1.067465,4.0
50,11,uniform-collection,uniform,0.291350759521893,23669,24.03135,9370,1.07157,4.0
51,11,uniform-collection,uniform,0.29390974704984,23534,24.220855,9650,1.08805,4.0
52,11,uniform-collection,uniform,0.295765908155764,23407,24.198045,9651,1.13735,4.0
53,11,uniform-collection,uniform,0.297928073546021,23069,24.616415,9497,1.156305,4.0
54,11,uniform-collection,uniform,0.294741850603059,23241,24.830255,10047,1.14195,4.0
55,11,uniform-collection,uniform,0.296504978555582,23063,25.040675,10083,1.15609,4.0
56,11,uniform-collection,uniform,0.298343412187445,23140,25.091635,10223,1.18408,4.0
57,11,uniform-collection,uniform,0.29745056424356,22604,25.589655,10378,1.20703,4.0
58,11,uniform-collection,uniform,0.297647344690463,22741,25.566625,10365,1.221795,4.0
59,11,uniform-collection,uniform,0.299978189173657,22561,25.52171,10061,1.218275,4.0
60,11,uniform-collection,uniform,0.30060503550285,22479,25.65813,10155,1.233885,4.0
61,11,uniform-collection,uniform,0.301621580346961,22444,26.033615,10236,1.254185,4.0
62,11,uniform-collection,uniform,0.306516720394465,22486,26.226755,10625,1.29539,4.0
63,11,uniform-collection,uniform,0.30513612898004,22056,26.708805,10476,1.312845,4.0
64,11,uniform-collection,uniform,0.307194736900931,22163,26.272235,10219,1.317275,4.0
65,11,uniform-collection,uniform,0.306707160813131,22216,26.661075,10403,1.33898,4.0
66,11,uniform-collection,uniform,0.304934733211977,22005,26.98236,11334,1.314895,4.0
67,11,uniform-collection,uniform,0.307094617413676,21918,27.3558,11088,1.38193,4.0
68,11,uniform-collection,uniform,0.309492049773792,21894,27.38885,11699,1.36099,4.0
69,11,uniform-collection,uniform,0.311983536319357,21760,27.78401,11192,1.40982,4.0
70,11,uniform-collection,uniform,0.30969512438357,21496,27.87088,11147,1.408375,4.0
71,11,uniform-collection,uniform,0.315423780067296,21382,27.71572,11432,1.42906,4.0
72,11,uniform-collection,uniform,0.31471535804808,21399,28.072485,11245,1.459325,4.0
73,11,uniform-collection,uniform,0.314106411018578,21254,28.104235,11085,1.43873,4.0
74,11,uniform-collection,uniform,0.316610099435589,21269,28.33692,11547,1.48428,4.0
75,11,uniform-collection,uniform,0.315330873752858,21035,28.868445,11558,1.491875,4.0
76,11,uniform-collection,uniform,0.315120514306764,20838,28.94289,11723,1.54241,4.0
77,11,uniform-collection,uniform,0.314679063719573,20908,29.460455,11355,1.55065,4.0
78,11,uniform-collection,uniform,0.313263800781813,20539,29.944545,11834,1.575225,4.0
79,11,uniform-collection,uniform,0.31491688918822,20258,30.314445,11657,1.618925,4.0
80,11,uniform-collection,uniform,0.31812214203564,20007,29.998975,12094,1.61088,4.0
81,11,uniform-collection,uniform,0.31374155800836,19569,30.8925,11955,1.621565,4.0
82,11,uniform-collection,uniform,0.315779618102882,19467,30.79114,12057,1.65916,4.0
83,11,uniform-collection,uniform,0.314459352005286,18903,31.23752,12563,1.67354,4.0
84,11,uniform-collection,uniform,0.315804065160553,18749,31.2507,13663,1.673715,4.0
85,11,uniform-collection,uniform,0.314383449215987,18199,31.944145,11845,1.685,4.0
86,11,uniform-collection,uniform,0.309629158862508,17945,32.49153,13081,1.72386,4.0
