maximum-sugar-endowment,minimum-sugar-endowment,taxation,redistribution,avg-gini,starvation,avg-wealth,total-wealth,avg-diff,etiqueta
192,10,linear-collection,poorest,0.218433171994459,0,31.59066,12298,4.512445,2.0
193,10,linear-collection,poorest,0.22282359515508,0,31.087135,12902,4.48094,2.0
194,10,linear-collection,poorest,0.219496099296974,0,31.8467,13643,4.57224,2.0
195,10,linear-collection,poorest,0.221237108617183,0,31.548825,12144,4.53701,2.0
196,10,linear-collection,poorest,0.218708375582997,0,32.3571,12943,4.66147,2.0
197,10,linear-collection,poorest,0.21990119050897,0,31.87191,12531,4.58829,2.0
198,10,linear-collection,poorest,0.221540109817903,0,32.260205,12753,4.67096,2.0
199,10,linear-collection,poorest,0.223573837540426,0,32.07695,12572,4.65518,2.0
200,10,linear-collection,poorest,0.218987160325791,0,32.796865,13562,4.719885,2.0
12,11,linear-collection,dynamic,0.196581266766071,33552,11.527895,4409,0.447255,3.0
13,11,linear-collection,uniform,0.187798852596662,32784,11.874075,5071,0.43975,1.0
14,11,linear-collection,dynamic,0.187987101816566,32036,11.93589,4621,0.44746,3.0
15,11,linear-collection,dynamic,0.188780619033074,32128,11.971755,4716,0.46128,3.0
16,11,linear-collection,uniform,0.190342128675469,31958,12.1995,4873,0.48566,1.0
17,11,linear-collection,uniform,0.190120242278357,31522,12.09711,4894,0.49013,1.0
18,11,linear-collection,uniform,0.194157393362843,31332,12.15092,4576,0.506725,1.0
19,11,linear-collection,uniform,0.195680515401842,31197,12.480165,4931,0.52766,1.0
20,11,linear-collection,uniform,0.198785636319955,30912,12.61515,4982,0.51991,1.0
21,11,linear-collection,uniform,0.202922848517499,30789,12.660265,5074,0.55093,1.0
22,11,linear-collection,uniform,0.203344596117716,30516,12.65712,5406,0.562865,1.0
23,11,linear-collection,uniform,0.204698466270593,30837,12.866935,5313,0.57769,1.0
24,11,linear-collection,uniform,0.204487269781073,30493,12.9872,5330,0.594345,1.0
25,11,linear-collection,uniform,0.207809206660517,30035,13.000445,5196,0.618525,1.0
26,11,linear-collection,uniform,0.212130943280872,30417,13.0305,5344,0.639985,1.0
27,11,linear-collection,uniform,0.20989547809304,29945,13.1676,5404,0.6526,1.0
28,11,linear-collection,uniform,0.212311434610857,29720,13.105695,5200,0.68097,1.0
29,11,linear-collection,uniform,0.213973154748919,29674,13.22454,5347,0.699115,1.0
30,11,linear-collection,uniform,0.211217085124986,29800,13.36301,5153,0.69771,1.0
31,11,linear-collection,uniform,0.217275276321062,29813,13.40308,5459,0.7298,1.0
32,11,linear-collection,uniform,0.22010259860848,29441,13.35194,5416,0.763705000000001,1.0
33,11,linear-collection,uniform,0.22349937379075,29089,13.419685,5552,0.799105000000001,1.0
34,11,linear-collection,uniform,0.225898377560648,29207,13.55401,5217,0.816690000000001,1.0
35,11,linear-collection,uniform,0.225192022275915,29048,13.618805,5552,0.82519,1.0
36,11,linear-collection,uniform,0.226639662062188,28992,13.706965,5434,0.861545000000001,1.0
37,11,linear-collection,uniform,0.227504344541738,28632,13.86321,5556,0.90252,1.0
38,11,linear-collection,uniform,0.22880980312526,27746,13.888005,5658,0.924784999999998,1.0
39,11,linear-collection,uniform,0.235578870815928,27376,13.907995,5512,0.954075,1.0
40,11,linear-collection,uniform,0.224712331848635,26886,14.364745,5506,0.993445,1.0
41,11,linear-collection,uniform,0.220804813654992,25934,14.56129,5588,1.009165,1.0
42,11,linear-collection,uniform,0.211436020395335,25894,15.44645,6553,1.06282,1.0
43,11,linear-collection,uniform,0.222543921290345,25238,15.10683,6520,1.092775,1.0
44,11,linear-collection,uniform,0.219624763918667,24297,15.38476,6238,1.13645,1.0
45,11,linear-collection,uniform,0.206961637207493,24140,16.21138,6247,1.142575,1.0
46,11,linear-collection,uniform,0.212161547130072,22993,16.06155,6432,1.14787,1.0
47,11,linear-collection,uniform,0.216798925940873,22873,16.012885,6914,1.19011,1.0
48,11,linear-collection,uniform,0.205932577904969,22724,16.82534,6683,1.18164,1.0
49,11,linear-collection,uniform,0.217724014735567,22899,16.50021,6904,1.233645,1.0
50,11,linear-collection,uniform,0.209599579487994,22601,17.033555,6488,1.21978,1.0
51,11,linear-collection,uniform,0.206177147129994,22030,17.29327,6891,1.22952,1.0
52,11,linear-collection,uniform,0.212252962741482,22263,17.151455,7160,1.285535,1.0
53,11,linear-collection,uniform,0.214037046912219,21697,17.357015,6917,1.29673,1.0
54,11,linear-collection,uniform,0.216261636893186,21700,17.272235,7169,1.33257,1.0
55,11,linear-collection,uniform,0.214738084068745,21442,17.661465,7066,1.350745,1.0
56,11,linear-collection,uniform,0.218407907386977,21469,17.514255,7251,1.37319,1.0
57,11,linear-collection,uniform,0.220449047556497,21340,17.674075,7035,1.42098,1.0
58,11,linear-collection,uniform,0.221480209750773,21088,17.843305,6941,1.447395,1.0
59,11,linear-collection,uniform,0.216634974205945,20631,18.038175,7235,1.44061,1.0
60,11,linear-collection,uniform,0.217856597323776,20331,18.177585,7084,1.469605,1.0
61,11,linear-collection,uniform,0.216192085945274,20315,18.3014,7610,1.488225,1.0
62,11,linear-collection,uniform,0.222549029704088,20453,18.122445,7310,1.50574,1.0
63,11,linear-collection,uniform,0.221573567503793,19801,18.297235,7695,1.515865,1.0
64,11,linear-collection,uniform,0.222655588213557,19611,18.38089,7104,1.516755,1.0
65,11,linear-collection,uniform,0.227132837029774,19554,18.350965,7308,1.559145,1.0
66,11,linear-collection,uniform,0.230392332025486,19302,18.456575,7327,1.588055,1.0
67,11,linear-collection,uniform,0.230239783910046,19216,18.395875,7275,1.59978,1.0
68,11,linear-collection,uniform,0.232762765779657,19258,18.602535,7317,1.613175,1.0
69,11,linear-collection,uniform,0.22961212815381,18808,18.75627,7696,1.590865,1.0
70,11,linear-collection,uniform,0.237009055283543,18923,18.920715,7960,1.65253,1.0
71,11,linear-collection,uniform,0.235787877459588,18881,18.856085,7333,1.657795,1.0
72,11,linear-collection,uniform,0.237859712090262,18285,18.90769,7359,1.683995,1.0
73,11,linear-collection,uniform,0.236396281648295,18466,19.286445,7868,1.674125,1.0
74,11,linear-collection,uniform,0.241931357036712,18887,18.99245,7605,1.718625,1.0
75,11,linear-collection,uniform,0.240674471374249,18140,19.37391,7702,1.717585,1.0
76,11,linear-collection,uniform,0.242963090742496,18263,19.32766,7563,1.714655,1.0
77,11,linear-collection,uniform,0.244811601233223,18195,19.37592,7632,1.753695,1.0
78,11,linear-collection,uniform,0.244398397979601,17782,19.696455,7740,1.741375,1.0
79,11,linear-collection,uniform,0.24879364324564,17778,19.31552,7679,1.765485,1.0
80,11,linear-collection,uniform,0.249263311348806,18056,19.60337,7883,1.81019,1.0
81,11,linear-collection,uniform,0.251631011177614,17789,19.933945,8207,1.8084,1.0
82,11,linear-collection,uniform,0.250934924163951,17837,19.838295,8153,1.82377,1.0
83,11,linear-collection,poorest,0.230560313568313,810,15.765535,6341,1.50099,2.0
84,11,linear-collection,poorest,0.252049531724763,724,15.49206,5785,1.524625,2.0
85,11,dynamic-collection,linear,0.250669347892067,8974,14.037015,5674,1.372275,9.0
86,11,linear-collection,uniform,0.261770231148403,17461,20.25989,8504,1.89297,1.0
87,11,linear-collection,uniform,0.258477551144245,17170,20.78866,8317,1.863885,1.0
