[run number],maximum-sugar-endowment,minimum-sugar-endowment,visualization,redistribution,initial-population,[step],avg-gini,starvation,avg-productivity,total-wealth
121,50,150,color-agents-by-decile,poorest,400,0,0.249879934160467,69,9.1024,3926
122,50,160,color-agents-by-decile,poorest,400,0,0.249879934160467,69,9.1024,3926
123,50,170,color-agents-by-decile,poorest,400,0,0.249879934160467,69,9.1024,3926
124,50,180,color-agents-by-decile,poorest,400,0,0.249879934160467,69,9.1024,3926
125,50,190,color-agents-by-decile,poorest,400,0,0.249879934160467,69,9.1024,3926
126,50,200,color-agents-by-decile,poorest,400,0,0.249879934160467,69,9.1024,3926
127,60,0,color-agents-by-decile,poorest,400,1000,0.312521309567545,618,6.564025,2731
128,60,10,color-agents-by-decile,poorest,400,1000,0.25682824959758,126,8.230175,3133
129,60,20,color-agents-by-decile,poorest,400,1000,0.303188043611048,49,8.0722,3544
130,60,30,color-agents-by-decile,poorest,400,1000,0.291681267447271,6,8.942225,3584
131,60,40,color-agents-by-decile,poorest,400,1000,0.225072225830116,0,11.4445,3910
132,60,50,color-agents-by-decile,poorest,400,1000,0.226793874127973,0,12.50545,5331
133,60,60,color-agents-by-decile,poorest,400,0,0.225072225830116,0,11.4445,3910
134,60,70,color-agents-by-decile,poorest,400,0,0.225072225830116,0,11.4445,3910
135,60,80,color-agents-by-decile,poorest,400,0,0.225072225830116,0,11.4445,3910
136,60,90,color-agents-by-decile,poorest,400,0,0.225072225830116,0,11.4445,3910
137,60,100,color-agents-by-decile,poorest,400,0,0.225072225830116,0,11.4445,3910
138,60,110,color-agents-by-decile,poorest,400,0,0.225072225830116,0,11.4445,3910
139,60,120,color-agents-by-decile,poorest,400,0,0.225072225830116,0,11.4445,3910
140,60,130,color-agents-by-decile,poorest,400,0,0.225072225830116,0,11.4445,3910
141,60,140,color-agents-by-decile,poorest,400,0,0.225072225830116,0,11.4445,3910
142,60,150,color-agents-by-decile,poorest,400,0,0.225072225830116,0,11.4445,3910
143,60,160,color-agents-by-decile,poorest,400,0,0.225072225830116,0,11.4445,3910
144,60,170,color-agents-by-decile,poorest,400,0,0.225072225830116,0,11.4445,3910
145,60,180,color-agents-by-decile,poorest,400,0,0.225072225830116,0,11.4445,3910
146,60,190,color-agents-by-decile,poorest,400,0,0.225072225830116,0,11.4445,3910
147,60,200,color-agents-by-decile,poorest,400,0,0.225072225830116,0,11.4445,3910
148,70,0,color-agents-by-decile,poorest,400,1000,0.275567056037091,312,7.974725,2778
149,70,10,color-agents-by-decile,poorest,400,1000,0.279392142036977,39,8.5489,3774
150,70,20,color-agents-by-decile,poorest,400,1000,0.267007630483677,2,9.58005,3544
151,70,30,color-agents-by-decile,poorest,400,1000,0.229392140466226,0,11.3082,5435
152,70,40,color-agents-by-decile,poorest,400,1000,0.211070446125802,0,13.324375,4945
153,70,50,color-agents-by-decile,poorest,400,1000,0.209955753212354,0,14.602825,5304
154,70,60,color-agents-by-decile,poorest,400,1000,0.211121678617698,0,15.2033,5374
155,70,70,color-agents-by-decile,poorest,400,0,0.209955753212354,0,14.602825,5304
156,70,80,color-agents-by-decile,poorest,400,0,0.209955753212354,0,14.602825,5304
157,70,90,color-agents-by-decile,poorest,400,0,0.209955753212354,0,14.602825,5304
158,70,100,color-agents-by-decile,poorest,400,0,0.209955753212354,0,14.602825,5304
159,70,110,color-agents-by-decile,poorest,400,0,0.209955753212354,0,14.602825,5304
160,70,120,color-agents-by-decile,poorest,400,0,0.209955753212354,0,14.602825,5304
161,70,130,color-agents-by-decile,poorest,400,0,0.209955753212354,0,14.602825,5304
162,70,140,color-agents-by-decile,poorest,400,0,0.209955753212354,0,14.602825,5304
163,70,150,color-agents-by-decile,poorest,400,0,0.209955753212354,0,14.602825,5304
164,70,160,color-agents-by-decile,poorest,400,0,0.209955753212354,0,14.602825,5304
165,70,170,color-agents-by-decile,poorest,400,0,0.209955753212354,0,14.602825,5304
166,70,180,color-agents-by-decile,poorest,400,0,0.209955753212354,0,14.602825,5304
167,70,190,color-agents-by-decile,poorest,400,0,0.209955753212354,0,14.602825,5304
168,70,200,color-agents-by-decile,poorest,400,0,0.209955753212354,0,14.602825,5304
169,80,0,color-agents-by-decile,poorest,400,1000,0.27546990718783,179,8.834475,3246
170,80,10,color-agents-by-decile,poorest,400,1000,0.250418089800629,27,9.8195,4290
171,80,20,color-agents-by-decile,poorest,400,1000,0.226875169456636,0,11.562225,5116
172,80,30,color-agents-by-decile,poorest,400,1000,0.205252807569466,0,13.614125,5246
173,80,40,color-agents-by-decile,poorest,400,1000,0.210112310237757,0,14.5305,5075
174,80,50,color-agents-by-decile,poorest,400,1000,0.212796472382217,0,15.59045,6308
175,80,60,color-agents-by-decile,poorest,400,1000,0.212503276209579,0,16.056775,5066
176,80,70,color-agents-by-decile,poorest,400,1000,0.203406618405303,0,17.324625,5658
177,80,80,color-agents-by-decile,poorest,400,0,0.212503276209579,0,16.056775,5066
178,80,90,color-agents-by-decile,poorest,400,0,0.212503276209579,0,16.056775,5066
179,80,100,color-agents-by-decile,poorest,400,0,0.212503276209579,0,16.056775,5066
180,80,110,color-agents-by-decile,poorest,400,0,0.212503276209579,0,16.056775,5066
181,80,120,color-agents-by-decile,poorest,400,0,0.212503276209579,0,16.056775,5066
182,80,130,color-agents-by-decile,poorest,400,0,0.212503276209579,0,16.056775,5066
183,80,140,color-agents-by-decile,poorest,400,0,0.212503276209579,0,16.056775,5066
184,80,150,color-agents-by-decile,poorest,400,0,0.212503276209579,0,16.056775,5066
185,80,160,color-agents-by-decile,poorest,400,0,0.212503276209579,0,16.056775,5066
186,80,170,color-agents-by-decile,poorest,400,0,0.212503276209579,0,16.056775,5066
187,80,180,color-agents-by-decile,poorest,400,0,0.212503276209579,0,16.056775,5066
188,80,190,color-agents-by-decile,poorest,400,0,0.212503276209579,0,16.056775,5066
189,80,200,color-agents-by-decile,poorest,400,0,0.212503276209579,0,16.056775,5066
190,90,0,color-agents-by-decile,poorest,400,1000,0.246026634566712,122,10.3911,4005
191,90,10,color-agents-by-decile,poorest,400,1000,0.236582727340374,2,11.402825,4488
192,90,20,color-agents-by-decile,poorest,400,1000,0.229109567687398,0,12.5119,6346
193,90,30,color-agents-by-decile,poorest,400,1000,0.222757129929492,0,13.6967,6919
194,90,40,color-agents-by-decile,poorest,400,1000,0.211730686913285,0,15.356,7215
195,90,50,color-agents-by-decile,poorest,400,1000,0.21301065760677,0,16.203,6069
196,90,60,color-agents-by-decile,poorest,400,1000,0.214194668157903,0,16.830975,5940
197,90,70,color-agents-by-decile,poorest,400,1000,0.212393254131106,0,17.725425,7100
198,90,80,color-agents-by-decile,poorest,400,1000,0.207843644443927,0,19.0751,6714
199,90,90,color-agents-by-decile,poorest,400,0,0.212393254131106,0,17.725425,7100
200,90,100,color-agents-by-decile,poorest,400,0,0.212393254131106,0,17.725425,7100
201,90,110,color-agents-by-decile,poorest,400,0,0.212393254131106,0,17.725425,7100
202,90,120,color-agents-by-decile,poorest,400,0,0.212393254131106,0,17.725425,7100
203,90,130,color-agents-by-decile,poorest,400,0,0.212393254131106,0,17.725425,7100
204,90,140,color-agents-by-decile,poorest,400,0,0.212393254131106,0,17.725425,7100
205,90,150,color-agents-by-decile,poorest,400,0,0.212393254131106,0,17.725425,7100
206,90,160,color-agents-by-decile,poorest,400,0,0.212393254131106,0,17.725425,7100
207,90,170,color-agents-by-decile,poorest,400,0,0.212393254131106,0,17.725425,7100
208,90,180,color-agents-by-decile,poorest,400,0,0.212393254131106,0,17.725425,7100
209,90,190,color-agents-by-decile,poorest,400,0,0.212393254131106,0,17.725425,7100
210,90,200,color-agents-by-decile,poorest,400,0,0.212393254131106,0,17.725425,7100
211,100,0,color-agents-by-decile,poorest,400,1000,0.233377654626049,94,12.0942,5005
