[run number],maximum-sugar-endowment,minimum-sugar-endowment,visualization,taxation,redistribution,initial-population,[step],avg-gini,starvation,avg-productivity,total-wealth
249,110,170,color-agents-by-decile,linear-collection,poorest,400,0,0.24150269364216,0,93.7127249999999,41606
250,110,180,color-agents-by-decile,linear-collection,poorest,400,0,0.24150269364216,0,93.7127249999999,41606
251,110,190,color-agents-by-decile,linear-collection,poorest,400,0,0.24150269364216,0,93.7127249999999,41606
252,110,200,color-agents-by-decile,linear-collection,poorest,400,0,0.24150269364216,0,93.7127249999999,41606
253,120,0,color-agents-by-decile,linear-collection,poorest,400,1000,0.322585474099807,108,59.728075,27678
254,120,10,color-agents-by-decile,linear-collection,poorest,400,1000,0.28103383107057,0,65.268625,29252
255,120,20,color-agents-by-decile,linear-collection,poorest,400,1000,0.293309991272145,0,67.2822,23133
256,120,30,color-agents-by-decile,linear-collection,poorest,400,1000,0.273206450709367,32,69.05845,22103
257,120,40,color-agents-by-decile,linear-collection,poorest,400,1000,0.247760687277653,0,76.742225,23878
258,120,50,color-agents-by-decile,linear-collection,poorest,400,1000,0.242147959279353,0,76.457975,28963
259,120,60,color-agents-by-decile,linear-collection,poorest,400,1000,0.266356635361639,0,89.5643,28823
260,120,70,color-agents-by-decile,linear-collection,poorest,400,1000,0.26549070918159,0,88.3957,34773
261,120,80,color-agents-by-decile,linear-collection,poorest,400,1000,0.265340446868134,0,99.489125,41278
262,120,90,color-agents-by-decile,linear-collection,poorest,400,1000,0.233882103174814,0,100.30135,32060
263,120,100,color-agents-by-decile,linear-collection,poorest,400,1000,0.220038285169197,0,107.726375,33892
264,120,110,color-agents-by-decile,linear-collection,poorest,400,1000,0.216974814285172,0,112.104875,35375
265,120,120,color-agents-by-decile,linear-collection,poorest,400,0,0.220038285169197,0,107.726375,33892
266,120,130,color-agents-by-decile,linear-collection,poorest,400,0,0.220038285169197,0,107.726375,33892
267,120,140,color-agents-by-decile,linear-collection,poorest,400,0,0.220038285169197,0,107.726375,33892
268,120,150,color-agents-by-decile,linear-collection,poorest,400,0,0.220038285169197,0,107.726375,33892
269,120,160,color-agents-by-decile,linear-collection,poorest,400,0,0.220038285169197,0,107.726375,33892
270,120,170,color-agents-by-decile,linear-collection,poorest,400,0,0.220038285169197,0,107.726375,33892
271,120,180,color-agents-by-decile,linear-collection,poorest,400,0,0.220038285169197,0,107.726375,33892
272,120,190,color-agents-by-decile,linear-collection,poorest,400,0,0.220038285169197,0,107.726375,33892
273,120,200,color-agents-by-decile,linear-collection,poorest,400,0,0.220038285169197,0,107.726375,33892
274,130,0,color-agents-by-decile,linear-collection,poorest,400,1000,0.252942902038063,96,63.93975,24467
